,layer,level_from,level_to,G,left_out
537,11,7,8,0.7652098288138708,sentence.4
538,11,8,9,0.7927292154894935,sentence.4
539,11,9,10,0.7820577373107275,sentence.4
540,0,1,2,0.986743258105384,sentence.5
541,0,2,3,0.9893245862589942,sentence.5
542,0,3,4,0.9907594852977328,sentence.5
543,0,4,5,0.9904514335923724,sentence.5
544,0,5,6,0.9876329782936308,sentence.5
545,0,6,7,0.9887764437331094,sentence.5
546,0,7,8,0.9896845817565918,sentence.5
547,0,8,9,0.9875864585240682,sentence.5
548,0,9,10,0.9880297117763095,sentence.5
549,1,1,2,0.9855484035280015,sentence.5
550,1,2,3,0.9887892984681659,sentence.5
551,1,3,4,0.9895998537540436,sentence.5
552,1,4,5,0.9896697368886735,sentence.5
553,1,5,6,0.9873011393679513,sentence.5
554,1,6,7,0.9859517216682434,sentence.5
555,1,7,8,0.9886067824231254,sentence.5
556,1,8,9,0.9842454625500573,sentence.5
557,1,9,10,0.9849080029461119,sentence.5
558,2,1,2,0.9645454982916514,sentence.5
559,2,2,3,0.9735861255062951,sentence.5
560,2,3,4,0.9749694830841489,sentence.5
561,2,4,5,0.9811697817511029,sentence.5
562,2,5,6,0.9746750709083345,sentence.5
563,2,6,7,0.973337945010927,sentence.5
564,2,7,8,0.9758571171098285,sentence.5
565,2,8,9,0.9639063096708722,sentence.5
566,2,9,10,0.9716775715351105,sentence.5
567,3,1,2,0.9323412544197507,sentence.5
568,3,2,3,0.9617643621232774,sentence.5
569,3,3,4,0.95612899462382,sentence.5
570,3,4,5,0.9649580154154036,sentence.5
571,3,5,6,0.9519298805130852,sentence.5
572,3,6,7,0.9565862483448453,sentence.5
573,3,7,8,0.9584948172171911,sentence.5
574,3,8,9,0.9476773457394706,sentence.5
575,3,9,10,0.9563365115059747,sentence.5
576,4,1,2,0.9128029197454453,sentence.5
577,4,2,3,0.9519068168269263,sentence.5
578,4,3,4,0.943183152212037,sentence.5
579,4,4,5,0.9571823444631364,sentence.5
580,4,5,6,0.9408855769369338,sentence.5
581,4,6,7,0.9470777610937754,sentence.5
582,4,7,8,0.9453825039996041,sentence.5
583,4,8,9,0.9386015931765238,sentence.5
584,4,9,10,0.9441422323385874,sentence.5
585,5,1,2,0.901596736576822,sentence.5
586,5,2,3,0.9455777754386266,sentence.5
587,5,3,4,0.9340163949463103,sentence.5
588,5,4,5,0.9495702634255091,sentence.5
589,5,5,6,0.9300144612789154,sentence.5
590,5,6,7,0.9370110150840547,sentence.5
591,5,7,8,0.9317802058325874,sentence.5
592,5,8,9,0.9228257437547048,sentence.5
593,5,9,10,0.9307341244485643,sentence.5
594,6,1,2,0.89252184662554,sentence.5
595,6,2,3,0.9316628691222932,sentence.5
596,6,3,4,0.9329693963130316,sentence.5
597,6,4,5,0.9409619271755219,sentence.5
598,6,5,6,0.9141157368818918,sentence.5
599,6,6,7,0.9279415789577696,sentence.5
600,6,7,8,0.9219247334533267,sentence.5
601,6,8,9,0.9146512597799301,sentence.5
602,6,9,10,0.9217454079124663,sentence.5
603,7,1,2,0.8761732478936514,sentence.5
604,7,2,3,0.9104987382888794,sentence.5
605,7,3,4,0.9151094737980101,sentence.5
