metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer
pc7,0.03918887909501786,0.025591556634753893,0.013597322460263964,0.013362356065306811,0.01381990008847789,0.0,16.553151979085733,100,100,9
pc7,0.0381673530861735,0.02248874939978118,0.01567860368639232,0.0153937758691609,0.01594553578086199,0.0,15.746859226802407,100,100,10
pc7,0.03822158945724364,0.029028276093304113,0.009193313363939526,0.008194313621148466,0.01018413574201987,0.0,2.6829954882470837,100,100,11
pc8,0.03399140957742925,0.019369532261043737,0.014621877316385513,0.014594425109680745,0.014648269944824285,0.0,143.79266364361894,100,100,0
pc8,0.030367208365350916,0.019046214297413776,0.01132099406793714,0.011287791617214675,0.011353979255538445,0.0,94.80724200174734,100,100,1
pc8,0.031226929966360287,0.01859819263219829,0.012628737334161998,0.012587116492446511,0.012674064991064363,0.0,81.45038773231066,100,100,2
pc8,0.031153953261673407,0.01833175078034396,0.012822202481329446,0.012758863353170464,0.012882267552427957,0.0,58.4378054921579,100,100,3
pc8,0.03242784671485419,0.017382092475891064,0.015045754238963129,0.014951843373011796,0.01513804654218257,0.0,42.666550819321536,100,100,4
pc8,0.02998572394251819,0.01688560424372549,0.013100119698792701,0.013004108908120544,0.013193453918676826,0.0,38.62077047694717,100,100,5
pc8,0.029008539319038348,0.01563717634417112,0.013371362974867226,0.013264837626833458,0.013489696504082532,0.0,34.035536434278576,100,100,6
pc8,0.027369311023503488,0.015122919958084777,0.012246391065418711,0.012116849488811563,0.012370860072085621,0.0,26.214113239774587,100,100,7
pc8,0.02644684704020615,0.014532594112679313,0.011914252927526837,0.011733902008505529,0.01209569781925529,0.0,17.653978698132075,100,100,8
pc8,0.025072628837078767,0.015262477966025425,0.009810150871053342,0.009473984170705075,0.01013433017022908,0.0,8.048553049384271,100,100,9
pc8,0.025067198425531338,0.015689196400344323,0.009378002025187016,0.008837132978951551,0.009851019184803592,0.0,5.084368129587492,100,100,10
pc8,0.03111592279747124,0.015033436287194437,0.0160824865102768,0.015575091663980875,0.016634824087843305,0.0,8.420289647463202,100,100,11
pc9,0.001237788713769935,0.001053011640324209,0.00018477707344572596,0.0001132712847029297,0.0002569336298620329,0.0,0.709712392260677,100,100,0
pc9,0.0014153942599659278,0.0012894754385342339,0.00012591882143169397,1.9967982254446556e-05,0.0002285699264321058,0.022,0.3399374842217924,100,100,1
pc9,0.0031846843915990975,0.002360109077999315,0.0008245753135997826,0.0005854280905914474,0.001044955884688536,0.0,1.004265901177511,100,100,2
pc9,0.005864250869490154,0.003581033003283615,0.002283217866206539,0.0018419162622303647,0.0027407758322660785,0.0,1.3945750561800248,100,100,3
pc9,0.006512515489011953,0.0047685197298414535,0.0017439957591704998,0.0012163654530304522,0.0022760329176089752,0.0,0.9277599741523874,100,100,4
pc9,0.006885593177284993,0.005072088548913548,0.0018135046283714448,0.0013434976353892169,0.0022794495675479928,0.0,1.072786609450911,100,100,5
pc9,0.007544694300740907,0.006038549731019832,0.001506144569721075,0.0010816387177328625,0.0019325464923749716,0.0,1.0093886045548328,100,100,6
pc9,0.008561217784881543,0.007810125821270001,0.0007510919636115419,0.0003069973910460269,0.0012256125229178007,0.0,0.44582678023896544,100,100,7
pc9,0.010469352626241695,0.008843915676698035,0.00162543694954366,0.0011028915393399132,0.0020739551817532662,0.0,0.9315325988689565,100,100,8
pc9,0.01274519228376444,0.010597917879931584,0.0021472744038328554,0.0016362998287659152,0.002657250555697829,0.0,1.146686509949957,100,100,9
pc9,0.016692733606323555,0.011624676468782076,0.005068057137541479,0.004450986174633736,0.005664919594069948,0.0,2.326583666317464,100,100,10
pc9,0.020141248181462238,0.01088632042054082,0.009254927760921417,0.008299578913953146,0.010207009237143209,0.0,2.743046721277918,100,100,11
pc10,0.0008591678616357439,0.000798603860894171,6.056400074157286e-05,2.4717329972185014e-05,0.00010016258001268824,0.004,0.43731886480364807,100,100,0
pc10,0.0009322375454939411,0.0010524450079537442,-0.00012020746245980309,-0.00019259325346502194,-5.332743357575961e-05,0.0,-0.48410910974070165,100,100,1
pc10,0.002108830440556577,0.002014254708774336,9.457573178224066e-05,-5.327815556666342e-05,0.00025342484566499433,0.184,0.17363784639390925,100,100,2
pc10,0.003646876958664455,0.002877854397520373,0.000769022561144082,0.0005360320009640387,0.0010045593527320336,0.0,0.9525960936051703,100,100,3
